t,x,y,z
0.000000000000000000e+00,1.000000000000000222e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000240e-05,1.002498438475952769e+00,4.993753903810119188e-02,5.000000000000000278e-02
1.000000000000000048e-04,1.007489073233039711e+00,9.968785124537639375e-02,1.000000000000000056e-01
1.500000000000000140e-04,1.014959435477364558e+00,1.491266385276163176e-01,1.500000000000000222e-01
2.000000000000000096e-04,1.024890860968466821e+00,1.981303811164705497e-01,2.000000000000000111e-01
2.500000000000000052e-04,1.037258536650778273e+00,2.465766461759894557e-01,2.500000000000000000e-01
3.000000000000000279e-04,1.052031562647516294e+00,2.943443936935321026e-01,2.999999999999999889e-01
3.499999999999999964e-04,1.069173029462124447e+00,3.413142788907911340e-01,3.499999999999999778e-01
4.000000000000000192e-04,1.088640110194378785e+00,3.873689503993785754e-01,3.999999999999999667e-01
4.500000000000000419e-04,1.110384167540763301e+00,4.323933434560000566e-01,4.499999999999999556e-01
5.000000000000000104e-04,1.134350875311780360e+00,4.762749673846864984e-01,4.999999999999999445e-01
5.500000000000000331e-04,1.160480354162593208e+00,5.189041866478272258e-01,5.499999999999999334e-01
6.000000000000000559e-04,1.188707321197884248e+00,5.601744947638153116e-01,5.999999999999999778e-01
6.500000000000000786e-04,1.218961253077153195e+00,5.999827804069394199e-01,6.500000000000000222e-01
6.999999999999999929e-04,1.251166562212943756e+00,6.382295850246870739e-01,7.000000000000000666e-01
7.500000000000000156e-04,1.285242785621781403e+00,6.748193513288189838e-01,7.500000000000001110e-01
8.000000000000000383e-04,1.321104785955986127e+00,7.096606620393748344e-01,8.000000000000001554e-01
8.500000000000000611e-04,1.358662964214098601e+00,7.426664682851227273e-01,8.500000000000001998e-01
9.000000000000000838e-04,1.397823483598471972e+00,7.737543070898085240e-01,9.000000000000002442e-01
9.499999999999999981e-04,1.438488503960737797e+00,8.028465074008283020e-01,9.500000000000002887e-01
1.000000000000000021e-03,1.480556426249397761e+00,8.298703841455749020e-01,1.000000000000000222e+00
1.050000000000000152e-03,1.523922146348802631e+00,8.547584198306199532e-01,1.050000000000000266e+00
1.100000000000000066e-03,1.568477317675318616e+00,8.774484332300169775e-01,1.100000000000000311e+00
1.149999999999999981e-03,1.614110621874600859e+00,8.978837347412690351e-01,1.150000000000000355e+00
1.200000000000000112e-03,1.660708046943652816e+00,9.160132680208127320e-01,1.200000000000000400e+00
1.250000000000000026e-03,1.708153172082801818e+00,9.317917375451514328e-01,1.250000000000000444e+00
1.300000000000000157e-03,1.756327458565903887e+00,9.451797217789338346e-01,1.300000000000000488e+00
1.350000000000000071e-03,1.805110545902057995e+00,9.561437716672348541e-01,1.350000000000000533e+00
1.399999999999999986e-03,1.854380552548887895e+00,9.646564942059612235e-01,1.400000000000000577e+00
1.450000000000000117e-03,1.904014380426076514e+00,9.706966208815871466e-01,1.450000000000000622e+00
1.500000000000000031e-03,1.953888022468346808e+00,9.742490608092265747e-01,1.500000000000000666e+00
1.550000000000000162e-03,2.003876872449484647e+00,9.753049384362808549e-01,1.550000000000000711e+00
1.600000000000000077e-03,2.053856036303328025e+00,9.738616157174605492e-01,1.600000000000000755e+00
1.649999999999999991e-03,2.103700644163908784e+00,9.699226987057796290e-01,1.650000000000000799e+00
1.700000000000000122e-03,2.153286162345129817e+00,9.634980285430536640e-01,1.700000000000000844e+00
1.750000000000000036e-03,2.202488704480516368e+00,9.546036568724125537e-01,1.750000000000000888e+00
1.800000000000000168e-03,2.251185341045683241e+00,9.432618057342575524e-01,1.800000000000000933e+00
1.850000000000000082e-03,2.299254406490186309e+00,9.295008120458608802e-01,1.850000000000000977e+00
1.899999999999999996e-03,2.346575803211415678e+00,9.133550568033208528e-01,1.900000000000001021e+00
1.950000000000000127e-03,2.393031301611067807e+00,8.948648791827588100e-01,1.950000000000001066e+00
2.000000000000000042e-03,2.438504835484521127e+00,8.740764757553691755e-01,2.000000000000000888e+00
2.050000000000000173e-03,2.482882792005108641e+00,8.510417850681284424e-01,2.050000000000000711e+00
2.100000000000000304e-03,2.526054295578775033e+00,8.258183578785314172e-01,2.100000000000000533e+00
2.150000000000000001e-03,2.567911484859927373e+00,7.984692133675639347e-01,2.150000000000000355e+00
2.200000000000000133e-03,2.608349782236370373e+00,7.690626816901565688e-01,2.200000000000000178e+00
2.250000000000000264e-03,2.647268155110036769e+00,7.376722332564964457e-01,2.250000000000000000e+00
2.299999999999999961e-03,2.684569368320717242e+00,7.043762951707276398e-01,2.299999999999999822e+00
2.350000000000000092e-03,2.720160227082126791e+00,6.692580552856566278e-01,2.349999999999999645e+00
2.400000000000000223e-03,2.753951809823343755e+00,6.324052543630198642e-01,2.399999999999999467e+00
2.449999999999999921e-03,2.785859690353884144e+00,5.939099668585892111e-01,2.449999999999999289e+00
2.500000000000000052e-03,2.815804148797344197e+00,5.538683708798085581e-01,2.499999999999999112e+00
2.550000000000000183e-03,2.843710370766606932e+00,5.123805078907098798e-01,2.549999999999998934e+00
2.600000000000000314e-03,2.869508634282986304e+00,4.695500327644701044e-01,2.599999999999998757e+00
2.650000000000000012e-03,2.893134483972300330e+00,4.254839548080879830e-01,2.649999999999998579e+00
2.700000000000000143e-03,2.914528892102657753e+00,3.802923704062141086e-01,2.699999999999998401e+00
2.750000000000000274e-03,2.933638406061615633e+00,3.340881879521073183e-01,2.749999999999998224e+00
2.799999999999999972e-03,2.950415281904242182e+00,2.869868457529609063e-01,2.799999999999998046e+00
2.850000000000000103e-03,2.964817603638425947e+00,2.391060236143942308e-01,2.849999999999997868e+00
2.900000000000000234e-03,2.976809387949403085e+00,1.905653488246985272e-01,2.899999999999997691e+00
2.949999999999999931e-03,2.986360674101856016e+00,1.414860972734170719e-01,2.949999999999997513e+00
3.000000000000000062e-03,2.993447598794966247e+00,9.199089045099653750e-02,2.999999999999997335e+00
3.050000000000000194e-03,2.998052455783404735e+00,4.220338908653728516e-02,3.049999999999997158e+00
3.100000000000000325e-03,3.000163740115294964e+00,-7.752015810930178163e-03,3.099999999999996980e+00
3.150000000000000022e-03,2.999776176876628675e+00,-5.775051373572823860e-02,3.149999999999996803e+00
3.200000000000000153e-03,2.996890734370313059e+00,-1.076671865169017417e-01,3.199999999999996625e+00
3.250000000000000284e-03,2.991514621696925946e+00,-1.573773204185826557e-01,3.249999999999996447e+00
3.299999999999999982e-03,2.983661270743221738e+00,-2.067567177295863146e-01,3.299999999999996270e+00
3.350000000000000113e-03,2.973350302623388064e+00,-2.556820070637515485e-01,3.349999999999996092e+00
3.400000000000000244e-03,2.960607478656900327e+00,-3.040309515957587139e-01,3.399999999999995914e+00
3.450000000000000375e-03,2.945464636005448611e+00,-3.516827544623173929e-01,3.449999999999995737e+00
3.500000000000000073e-03,2.927959608129748315e+00,-3.985183605656972827e-01,3.499999999999995559e+00
3.550000000000000204e-03,2.908136130264966646e+00,-4.444207540255651345e-01,3.549999999999995381e+00
3.600000000000000335e-03,2.886043730150928521e+00,-4.892752505359624915e-01,3.599999999999995204e+00
3.650000000000000033e-03,2.861737604290104819e+00,-5.329697838969882362e-01,3.649999999999995026e+00
3.700000000000000164e-03,2.835278480042547677e+00,-5.753951860053044820e-01,3.699999999999994849e+00
3.750000000000000295e-03,2.806732463902316788e+00,-6.164454596039260492e-01,3.749999999999994671e+00
3.799999999999999992e-03,2.776170876334472570e+00,-6.560180431098456832e-01,3.799999999999994493e+00
3.850000000000000124e-03,2.743670073585280367e+00,-6.940140668578395067e-01,3.849999999999994316e+00
3.900000000000000255e-03,2.709311256910828192e+00,-7.303386001202422095e-01,3.899999999999994138e+00
3.950000000000000386e-03,2.673180269700683898e+00,-7.649008882855299341e-01,3.949999999999993960e+00
4.000000000000000083e-03,2.635367383003467179e+00,-7.976145796031336443e-01,3.999999999999993783e+00
4.049999999999999781e-03,2.595967069990189557e+00,-8.283979409279750294e-01,4.049999999999993605e+00
4.100000000000000346e-03,2.555077769918847608e+00,-8.571740619257008920e-01,4.099999999999993427e+00
4.150000000000000043e-03,2.512801642189994578e+00,-8.838710472284219133e-01,4.149999999999993250e+00
4.200000000000000608e-03,2.469244311107762435e+00,-9.084221960608658275e-01,4.199999999999993072e+00
4.250000000000000305e-03,2.424514601984036677e+00,-9.307661688881607720e-01,4.249999999999992895e+00
4.300000000000000003e-03,2.378724269245110268e+00,-9.508471406688894234e-01,4.299999999999992717e+00
4.350000000000000568e-03,2.331987717220124878e+00,-9.686149403305203132e-01,4.349999999999992539e+00
4.400000000000000265e-03,2.284421714308893403e+00,-9.840251761187457369e-01,4.399999999999992362e+00
4.449999999999999963e-03,2.236145101243236066e+00,-9.970393465075488848e-01,4.449999999999992184e+00
4.500000000000000527e-03,2.187278494170724841e+00,-1.007624936392897963e+00,4.499999999999992006e+00
