t,x,y,z
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000240e-05,4.998505501412728869e-01,-1.222405511550027531e-02,0.000000000000000000e+00
1.000000000000000048e-04,4.998371278174780774e-01,-1.276109929332166180e-02,0.000000000000000000e+00
1.500000000000000140e-04,4.998231284884853687e-01,-1.329812873990318493e-02,0.000000000000000000e+00
2.000000000000000096e-04,4.998085521704552781e-01,-1.383514283530533177e-02,0.000000000000000000e+00
2.500000000000000052e-04,4.997933988802144567e-01,-1.437214095960632002e-02,0.000000000000000000e+00
3.000000000000000279e-04,4.997776686352558562e-01,-1.490912249290280746e-02,0.000000000000000000e+00
3.499999999999999964e-04,4.997613614537381177e-01,-1.544608681531058937e-02,0.000000000000000000e+00
4.000000000000000192e-04,4.997444773544860164e-01,-1.598303330696534269e-02,0.000000000000000000e+00
4.500000000000000419e-04,4.997270163569904611e-01,-1.651996134802332858e-02,0.000000000000000000e+00
5.000000000000000104e-04,4.997089784814079949e-01,-1.705687031866209152e-02,0.000000000000000000e+00
5.500000000000000331e-04,4.996903637485615168e-01,-1.759375959908120526e-02,0.000000000000000000e+00
6.000000000000000559e-04,4.996711721799393935e-01,-1.813062856950297189e-02,0.000000000000000000e+00
6.500000000000000786e-04,4.996514037976963474e-01,-1.866747661017314000e-02,0.000000000000000000e+00
6.999999999999999929e-04,4.996310586246526242e-01,-1.920430310136160904e-02,0.000000000000000000e+00
7.500000000000000156e-04,4.996101366842943259e-01,-1.974110742336315782e-02,0.000000000000000000e+00
8.000000000000000383e-04,4.995886380007734662e-01,-2.027788895649816972e-02,0.000000000000000000e+00
8.500000000000000611e-04,4.995665625989080816e-01,-2.081464708111332995e-02,0.000000000000000000e+00
9.000000000000000838e-04,4.995439105041813987e-01,-2.135138117758233339e-02,0.000000000000000000e+00
9.499999999999999981e-04,4.995206817427427781e-01,-2.188809062630662355e-02,0.000000000000000000e+00
1.000000000000000021e-03,4.994968763414073254e-01,-2.242477480771609688e-02,0.000000000000000000e+00
1.050000000000000152e-03,4.994724943276556695e-01,-2.296143310226982440e-02,0.000000000000000000e+00
1.100000000000000066e-03,4.994475357296337958e-01,-2.349806489045673519e-02,0.000000000000000000e+00
1.149999999999999981e-03,4.994220005761538794e-01,-2.403466955279639702e-02,0.000000000000000000e+00
1.200000000000000112e-03,4.993958888966932852e-01,-2.457124646983965821e-02,0.000000000000000000e+00
1.250000000000000026e-03,4.993692007213948458e-01,-2.510779502216940046e-02,0.000000000000000000e+00
1.300000000000000157e-03,4.993419360810670837e-01,-2.564431459040126052e-02,0.000000000000000000e+00
1.350000000000000071e-03,4.993140950071840445e-01,-2.618080455518433103e-02,0.000000000000000000e+00
1.399999999999999986e-03,4.992856775318850193e-01,-2.671726429720187868e-02,0.000000000000000000e+00
1.450000000000000117e-03,4.992566836879746561e-01,-2.725369319717204850e-02,0.000000000000000000e+00
1.500000000000000031e-03,4.992271135089232370e-01,-2.779009063584860634e-02,0.000000000000000000e+00
1.550000000000000162e-03,4.991969670288659566e-01,-2.832645599402161540e-02,0.000000000000000000e+00
1.600000000000000077e-03,4.991662442826036994e-01,-2.886278865251819259e-02,0.000000000000000000e+00
1.649999999999999991e-03,4.991349453056024288e-01,-2.939908799220320237e-02,0.000000000000000000e+00
1.700000000000000122e-03,4.991030701339930209e-01,-2.993535339397994377e-02,0.000000000000000000e+00
1.750000000000000036e-03,4.990706188045718195e-01,-3.047158423879092401e-02,0.000000000000000000e+00
1.800000000000000168e-03,4.990375913548002473e-01,-3.100777990761853856e-02,0.000000000000000000e+00
1.850000000000000082e-03,4.990039878228049175e-01,-3.154393978148578581e-02,0.000000000000000000e+00
1.899999999999999996e-03,4.989698082473769669e-01,-3.208006324145695753e-02,0.000000000000000000e+00
1.950000000000000127e-03,4.989350526679730002e-01,-3.261614966863842641e-02,0.000000000000000000e+00
2.000000000000000042e-03,4.988997211247143126e-01,-3.315219844417929135e-02,0.000000000000000000e+00
2.050000000000000173e-03,4.988638136583873339e-01,-3.368820894927213039e-02,0.000000000000000000e+00
2.100000000000000304e-03,4.988273303104428513e-01,-3.422418056515365986e-02,0.000000000000000000e+00
2.150000000000000001e-03,4.987902711229971198e-01,-3.476011267310556013e-02,0.000000000000000000e+00
2.200000000000000133e-03,4.987526361388304741e-01,-3.529600465445504459e-02,0.000000000000000000e+00
2.250000000000000264e-03,4.987144254013883837e-01,-3.583185589057570619e-02,0.000000000000000000e+00
2.299999999999999961e-03,4.986756389547807866e-01,-3.636766576288813502e-02,0.000000000000000000e+00
2.350000000000000092e-03,4.986362768437820892e-01,-3.690343365286067462e-02,0.000000000000000000e+00
2.400000000000000223e-03,4.985963391138314993e-01,-3.743915894201015754e-02,0.000000000000000000e+00
2.449999999999999921e-03,4.985558258110326935e-01,-3.797484101190258532e-02,0.000000000000000000e+00
2.500000000000000052e-03,4.985147369821534280e-01,-3.851047924415382934e-02,0.000000000000000000e+00
2.550000000000000183e-03,4.984730726746262053e-01,-3.904607302043038713e-02,0.000000000000000000e+00
2.600000000000000314e-03,4.984308329365478296e-01,-3.958162172245006938e-02,0.000000000000000000e+00
2.650000000000000012e-03,4.983880178166791852e-01,-4.011712473198273538e-02,0.000000000000000000e+00
2.700000000000000143e-03,4.983446273644455138e-01,-4.065258143085097309e-02,0.000000000000000000e+00
2.750000000000000274e-03,4.983006616299360259e-01,-4.118799120093081384e-02,0.000000000000000000e+00
2.799999999999999972e-03,4.982561206639043450e-01,-4.172335342415249559e-02,0.000000000000000000e+00
2.850000000000000103e-03,4.982110045177680080e-01,-4.225866748250114990e-02,0.000000000000000000e+00
2.900000000000000234e-03,4.981653132436081322e-01,-4.279393275801745417e-02,0.000000000000000000e+00
2.949999999999999931e-03,4.981190468941705252e-01,-4.332914863279847817e-02,0.000000000000000000e+00
3.000000000000000062e-03,4.980722055228642420e-01,-4.386431448899826002e-02,0.000000000000000000e+00
3.050000000000000194e-03,4.980247891837621954e-01,-4.439942970882859719e-02,0.000000000000000000e+00
3.100000000000000325e-03,4.979767979316013227e-01,-4.493449367455973342e-02,0.000000000000000000e+00
3.150000000000000022e-03,4.979282318217820857e-01,-4.546950576852110126e-02,0.000000000000000000e+00
3.200000000000000153e-03,4.978790909103685824e-01,-4.600446537310200201e-02,0.000000000000000000e+00
3.250000000000000284e-03,4.978293752540882688e-01,-4.653937187075230658e-02,0.000000000000000000e+00
3.299999999999999982e-03,4.977790849103323478e-01,-4.707422464398323264e-02,0.000000000000000000e+00
3.350000000000000113e-03,4.977282199371550475e-01,-4.760902307536796912e-02,0.000000000000000000e+00
3.400000000000000244e-03,4.976767803932746204e-01,-4.814376654754250195e-02,0.000000000000000000e+00
3.450000000000000375e-03,4.976247663380719555e-01,-4.867845444320620385e-02,0.000000000000000000e+00
3.500000000000000073e-03,4.975721778315913557e-01,-4.921308614512262536e-02,0.000000000000000000e+00
3.550000000000000204e-03,4.975190149345401491e-01,-4.974766103612016099e-02,0.000000000000000000e+00
3.600000000000000335e-03,4.974652777082892996e-01,-5.028217849909285414e-02,0.000000000000000000e+00
3.650000000000000033e-03,4.974109662148718525e-01,-5.081663791700095911e-02,0.000000000000000000e+00
3.700000000000000164e-03,4.973560805169844889e-01,-5.135103867287178769e-02,0.000000000000000000e+00
3.750000000000000295e-03,4.973006206779865823e-01,-5.188538014980038221e-02,0.000000000000000000e+00
3.799999999999999992e-03,4.972445867619001425e-01,-5.241966173095017473e-02,0.000000000000000000e+00
3.850000000000000124e-03,4.971879788334097050e-01,-5.295388279955372951e-02,0.000000000000000000e+00
3.900000000000000255e-03,4.971307969578631636e-01,-5.348804273891354794e-02,0.000000000000000000e+00
3.950000000000000386e-03,4.970730412012701049e-01,-5.402214093240260279e-02,0.000000000000000000e+00
4.000000000000000083e-03,4.970147116303033075e-01,-5.455617676346521255e-02,0.000000000000000000e+00
4.049999999999999781e-03,4.969558083122972980e-01,-5.509014961561763124e-02,0.000000000000000000e+00
4.100000000000000346e-03,4.968963313152495731e-01,-5.562405887244886715e-02,0.000000000000000000e+00
4.150000000000000043e-03,4.968362807078194332e-01,-5.615790391762131434e-02,0.000000000000000000e+00
4.200000000000000608e-03,4.967756565593285378e-01,-5.669168413487150199e-02,0.000000000000000000e+00
4.250000000000000305e-03,4.967144589397605170e-01,-5.722539890801078832e-02,0.000000000000000000e+00
4.300000000000000003e-03,4.966526879197610267e-01,-5.775904762092605449e-02,0.000000000000000000e+00
4.350000000000000568e-03,4.965903435706379154e-01,-5.829262965758050946e-02,0.000000000000000000e+00
4.400000000000000265e-03,4.965274259643603916e-01,-5.882614440201425210e-02,0.000000000000000000e+00
4.449999999999999963e-03,4.964639351735596895e-01,-5.935959123834511075e-02,0.000000000000000000e+00
4.500000000000000527e-03,4.963998712715290695e-01,-5.989296955076933021e-02,0.000000000000000000e+00
4.550000000000000225e-03,4.963352343322225968e-01,-6.042627872356218927e-02,0.000000000000000000e+00
4.599999999999999922e-03,4.962700244302565289e-01,-6.095951814107882644e-02,0.000000000000000000e+00
4.650000000000000487e-03,4.962042416409082612e-01,-6.149268718775489917e-02,0.000000000000000000e+00
4.700000000000000185e-03,4.961378860401165491e-01,-6.202578524810728466e-02,0.000000000000000000e+00
4.749999999999999882e-03,4.960709577044812302e-01,-6.255881170673481539e-02,0.000000000000000000e+00
4.800000000000000447e-03,4.960034567112638348e-01,-6.309176594831900076e-02,0.000000000000000000e+00
4.850000000000000144e-03,4.959353831383861433e-01,-6.362464735762463075e-02,0.000000000000000000e+00
4.899999999999999842e-03,4.958667370644316841e-01,-6.415745531950070579e-02,0.000000000000000000e+00
4.950000000000000407e-03,4.957975185686445130e-01,-6.469018921888093632e-02,0.000000000000000000e+00
5.000000000000000104e-03,4.957277277309293795e-01,-6.522284844078451993e-02,0.000000000000000000e+00
5.050000000000000669e-03,4.956573646318518933e-01,-6.575543237031687693e-02,0.000000000000000000e+00
5.100000000000000366e-03,4.955864293526384690e-01,-6.628794039267034421e-02,0.000000000000000000e+00
